,NVDA,ABN.AS,ING,VUSA.DE,AMAT,AMD,SPYE.DE,ITEC.L,STQ.PA,ASML.AS,TSM,MU,SU.PA
Date,2026-08-11,2026-08-25,2026-08-25,2026-08-13,2026-08-13,2026-09-01,2026-08-24,2026-08-24,2026-08-24,2026-08-12,2026-08-13,2026-08-27,2026-08-14
Shares,0.22977138,1.0947163,1.154316,0.38445273,0.09004705,0.065777532,0.2396833,0.24545453,0.21907894,0.03151419,0.111639286,0.05166697,0.15950625
Amount,50,45,35,50,50,29.99,100,50,100,50,50,50,50
Currency,USD,EUR,EUR,EUR,USD,USD,EUR,EUR,EUR,EUR,USD,USD,EUR
Date,,,,2026-08-21,,,,,,2026-08-24,2026-08-19,,2026-08-19
Shares,,,,0.23635074,,,,,,0.02017095,0.07140133,,0.10081053
Amount,,,,30,,,,,,30,29.99,,30
Currency,,,,EUR,,,,,,EUR,USD,,EUR
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
